sentence,tf-idf-sum
"And when you think that she has her regular office work to do, that Mr. Kleiman is sick, that Miep is home with a cold and that Bep herself has a sprained ankle, boyfriend troubles and a grouchy father, it’s no wonder she’s at the end of her tether.",28.35479059489707
"Ten times a day people were sending her out for something, each time insisting she go right away or go again or that she’d done it all wrong.",17.158423629577015
"We comforted her and told her that if she’d put her foot down once or twice and say she didn’t have the time, the shopping lists would shrink of their own accord.",17.070797746883418
"Dussel complained to Mother that he was being treated like a leper, that no one was friendly to him and that, after all, he hadn’t done anything to deserve it.",16.193697188678094
"Other than one ration stamp each for cheese, meat and bread, all she received from us was a jar of jam.",15.779207070363745
It started with a discussion of van Maaren and ended in a general argument and tears.,11.88178930837045
"Dussel promised her the moon, but, as usual, we haven’t seen so much as a beam.",11.222146065347914
"Her husband, Dussel and the office staff gave her nothing but flowers and also food.",10.875101374484885
Father’s furious because they’re cheating us: they’ve been holding back meat and other things.,10.752610141597842
"She told him we were disappointed in him and that, on more than one occasion, he’d been a source of great annoyance.",9.9340589224818
"This was followed by a lot of sweet talk, which luckily Mother didn’t fall for this time.",9.3708743396635
"Saturday there was a big drama, the likes of which have never been seen here before.",8.626669004656481
Bep had a nervous fit last week because she had so many errands to do.,8.446333203687526
"There’s trouble brewing with the van Daans, I can tell!",6.7029038350213215
"Oh, what kind of bombshell is about to burst now?",5.759523378129059
They’re driving us crazy!,4.1697240580367145
If only I weren’t so involved in all these skirmishes!,4.105236644749011
It’s Mrs. van Daan’s birthday.,3.4362901220975792
Such are the times we live in!,2.213703877239302
If only I could leave here!,1.6097749058536575
